Name and Surname,Birthday,Gender,Nationality,The year of death,Artistic Movement
Claude Monet,14/11/1840,Male,French,1926,Impressionism
Romare Bearden,02/09/1911,Male,American,1988,Cubism
Salvador Dalì,11/05/1904,Male,Spanish,1989,Surrealism
Pablo Picasso,25/10/1881,Male,Spanish,1973,Cubism
Michelangelo Buonarroti,06/03/1475,Male,Italian,1564,Renaissance
Johannes Vermeer,31/10/1632,Male,Dutch,1675,Baroque
Augusta Savage,29/02/1892,Female,American,1962,Renaissance
Berthe Morisot,14/01/1841,Female,French,1895,Impressionism
Caravaggio,29/9/1571,Male,Italian,1610,Baroque
Camille Pissarro,10/7/1830,Male,French,1903,Impressionism
Caspar David Friedrich,05/09/1774,Male,German,1840,Romanticism
Tamara de Lempicka,16/5/1898,Female,American,1980,Cubism
Gustave Courbet,10/6/1819,Male,French,1877,Romanticism
Maria Blanchard,06/03/1881,Female,Spanish,1932,Cubism
Francisco Goya,30/3/1746,Male,Spanish,1828,Romanticism
Rembrandt,15/7/1606,Male,Dutch,1669,Romanticism
Edgar Degas,19/7/1834,Male,French,1917,Impressionism
Leonardo Da Vinci,15/04/1452,Male,Italian,1519,Renaissance
Rembrandt,15/07/1606,Male,Dutch,1669,Baroque 
Paul Cézanne,19/01/1839,Male,French,1906,Post impressionism
Pierre-Auguste Renoir,25/02/1841,Male,French,1919,Impressionism
Suzy Morris,07/05/1911,Female,Swiss,1938,Cubism
Artemisia Gentileschi,08/07/1593,Female,American,1988,Cubism
Berthe Morisot,14/01/1841,Female,French,1895,Impressionism
Alfred Sisley,30/10/1839,Male,French,1899,Impressionism
Sofonisba Anguissola,02/02/1532,Female,Italian,1625,Renaissance
Amedeo Modigliani,12/07/1884,Male,Italian,1920,Expressionism
Thomas Hart Benton,15/04/1889,Male,American,1975,Realism
Arshile Gorky,15/04/1904,Male,American,1948,Expressionism
Marcel Duchamp,28/07/1887,Male,American ,1968,Cubism
